New,Original Value,Level1,Level2,Level3,Level4
death from disease,11 out of the 17 staff members had died of the disease,11 out of the 17 staff members had died of the disease,11 out of the 17 staff members had died of the disease,11 out of the 17 staff members had died of the disease,11 out of the 17 staff members had died of the disease
outbreaks,11outbreak,11outbreak,11outbreak,11outbreak,11outbreak
k,outbreaks,outbreaks,outbreaks,outbreaks,11outbreak
,abrupt shifts,abrupt shifts,abrupt shifts,abrupt shifts,abrupt shifts
,absence of rapid tests,absence of rapid tests,absence of rapid tests,absence of rapid tests,absence of rapid tests
absenteeism driven by illness deaths and fear ,absenteeism,absenteeism,absenteeism,absenteeism,absenteeism
absenteeism driven by illness deaths and fear ,absenteeism of otherwise healthy workers.5,absenteeism of otherwise healthy workers.5,absenteeism of otherwise healthy workers.5,absenteeism of otherwise healthy workers.5,absenteeism of otherwise healthy workers.5
,accuracy of data,accuracy of data,accuracy of data,accuracy of data,accuracy of data
,additional reduction in economic activities in unaffected countries,additional reduction in economic activities in unaffected countries,additional reduction in economic activities in unaffected countries,additional reduction in economic activities in unaffected countries,additional reduction in economic activities in unaffected countries
,additional strain on economy already stretched by recession,additional strain on economy already stretched by recession,additional strain on economy already stretched by recession,additional strain on economy already stretched by recession,additional strain on economy already stretched by recession
,advanced age,advanced age,advanced age,advanced age,advanced age
,advancing age,advancing age,advanced age,advanced age,advanced age
,expiration dates,expiration dates,expiration dates,expiration dates,advanced age
advanced industrialization,advanced industrializationsuch,advanced industrializationsuch,advanced industrializationsuch,advanced industrializationsuch,advanced industrializationsuch
,aggressive strategies leading to containment of disease in single location,aggressive strategies leading to containment of disease in single location,aggressive strategies leading to containment of disease in single location,aggressive strategies leading to containment of disease in single location,aggressive strategies leading to containment of disease in single location
k,stringent infection control measures,stringent infection control measures,stringent infection control measures,strong disease surveillance programs,aggressive strategies leading to containment of disease in single location
k,strong disease surveillance programs,strong disease surveillance programs,strong disease surveillance programs,strong disease surveillance programs,aggressive strategies leading to containment of disease in single location
,alarm,alarm,alarm,alarm,alarm
alarm,alarm bells,alarm bells,alarm bells,alarm bells,alarm bells
,always-on news and fake news,always-on news and fake news,always-on news and fake news,always-on news and fake news,always-on news and fake news
